"Model","Trained on Type of data","Predicting data","Accuracy in %","Sensitivity","Specificity"
"
"
"Logistic Regression","Entire dataset","Entire dataset","76.13941018766755","0.6174863387978142","0.9"
"
"
"Logistic Regression","Entire dataset","Male dataset","67.5","0.5050505050505051","0.9508196721311475"
"
"
"Logistic Regression","Entire dataset","Female dataset","82.15962441314554","0.75","0.8682170542635659"
"
"
"Logistic Regression(Male)","Male dataset","Male dataset","70.625","0.8888888888888888","0.4098360655737705"
"
"
"Logistic Regression(Female)","Female dataset","Female dataset","82.62910798122066","0.5714285714285714","0.9922480620155039"
"
"
